country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Panama,PA,PAN,591,"Adjusted net attendance rate, one year before the official primary entry age",2013,82.681976,Female,,%,,,,Total
Panama,PA,PAN,591,"Adjusted net attendance rate, one year before the official primary entry age",2013,78.985718,Male,,%,,,,Total
Panama,PA,PAN,591,"Adjusted net attendance rate, one year before the official primary entry age",2013,80.779617,Total,,%,,,,Total
Paraguay,PY,PRY,600,"Adjusted net attendance rate, one year before the official primary entry age",2017,96.5,Female,,%,,,,Total
Paraguay,PY,PRY,600,"Adjusted net attendance rate, one year before the official primary entry age",2017,96.5,Male,,%,,,,Total
Paraguay,PY,PRY,600,"Adjusted net attendance rate, one year before the official primary entry age",2017,96.5,Total,,%,,,,Total
Peru,PE,PER,604,"Adjusted net attendance rate, one year before the official primary entry age",2012,96.210327,Female,,%,,,,Total
Peru,PE,PER,604,"Adjusted net attendance rate, one year before the official primary entry age",2012,95.445183,Male,,%,,,,Total
Peru,PE,PER,604,"Adjusted net attendance rate, one year before the official primary entry age",2012,95.811432,Total,,%,,,,Total
Philippines,PH,PHL,608,"Adjusted net attendance rate, one year before the official primary entry age",2017,86.974228,Female,,%,,,,Total
Philippines,PH,PHL,608,"Adjusted net attendance rate, one year before the official primary entry age",2017,82.236801,Male,,%,,,,Total
Philippines,PH,PHL,608,"Adjusted net attendance rate, one year before the official primary entry age",2017,84.444153,Total,,%,,,,Total
"Moldova, Republic of",MD,MDA,498,"Adjusted net attendance rate, one year before the official primary entry age",2012,94.963837,Female,,%,,,,Total
"Moldova, Republic of",MD,MDA,498,"Adjusted net attendance rate, one year before the official primary entry age",2012,92.584923,Male,,%,,,,Total
"Moldova, Republic of",MD,MDA,498,"Adjusted net attendance rate, one year before the official primary entry age",2012,93.857712,Total,,%,,,,Total
Rwanda,RW,RWA,646,"Adjusted net attendance rate, one year before the official primary entry age",2015,84.047363,Female,,%,,,,Total
Rwanda,RW,RWA,646,"Adjusted net attendance rate, one year before the official primary entry age",2015,84.390633,Male,,%,,,,Total
Rwanda,RW,RWA,646,"Adjusted net attendance rate, one year before the official primary entry age",2015,84.226242,Total,,%,,,,Total
Saint Lucia,LC,LCA,662,"Adjusted net attendance rate, one year before the official primary entry age",2012,50.082779,Female,,%,,,,Total
Saint Lucia,LC,LCA,662,"Adjusted net attendance rate, one year before the official primary entry age",2012,56.441978,Male,,%,,,,Total
Saint Lucia,LC,LCA,662,"Adjusted net attendance rate, one year before the official primary entry age",2012,53.829708,Total,,%,,,,Total
Samoa,WS,WSM,882,"Adjusted net attendance rate, one year before the official primary entry age",2020,57.29818,Female,,%,,,,Total
Samoa,WS,WSM,882,"Adjusted net attendance rate, one year before the official primary entry age",2020,52.268551,Male,,%,,,,Total
Samoa,WS,WSM,882,"Adjusted net attendance rate, one year before the official primary entry age",2020,54.662289,Total,,%,,,,Total
Sao Tome and Principe,ST,STP,678,"Adjusted net attendance rate, one year before the official primary entry age",2019,78.157219,Female,,%,,,,Total
Sao Tome and Principe,ST,STP,678,"Adjusted net attendance rate, one year before the official primary entry age",2019,69.854912,Male,,%,,,,Total
Sao Tome and Principe,ST,STP,678,"Adjusted net attendance rate, one year before the official primary entry age",2019,74.061607,Total,,%,,,,Total
Senegal,SN,SEN,686,"Adjusted net attendance rate, one year before the official primary entry age",2019,29.855909,Female,,%,,,,Total
Senegal,SN,SEN,686,"Adjusted net attendance rate, one year before the official primary entry age",2019,26.692011,Male,,%,,,,Total
Senegal,SN,SEN,686,"Adjusted net attendance rate, one year before the official primary entry age",2019,28.29002,Total,,%,,,,Total
Serbia,RS,SRB,688,"Adjusted net attendance rate, one year before the official primary entry age",2019,95.876747,Female,,%,,,,Total
Serbia,RS,SRB,688,"Adjusted net attendance rate, one year before the official primary entry age",2019,97.679626,Male,,%,,,,Total
Serbia,RS,SRB,688,"Adjusted net attendance rate, one year before the official primary entry age",2019,96.893997,Total,,%,,,,Total
Sierra Leone,SL,SLE,694,"Adjusted net attendance rate, one year before the official primary entry age",2017,65.900002,Female,,%,,,,Total
Sierra Leone,SL,SLE,694,"Adjusted net attendance rate, one year before the official primary entry age",2017,62,Male,,%,,,,Total
Sierra Leone,SL,SLE,694,"Adjusted net attendance rate, one year before the official primary entry age",2017,63.900002,Total,,%,,,,Total
South Africa,ZA,ZAF,710,"Adjusted net attendance rate, one year before the official primary entry age",2016,96.312263,Female,,%,,,,Total
South Africa,ZA,ZAF,710,"Adjusted net attendance rate, one year before the official primary entry age",2016,98.144997,Male,,%,,,,Total
South Africa,ZA,ZAF,710,"Adjusted net attendance rate, one year before the official primary entry age",2016,97.290939,Total,,%,,,,Total
South Sudan,SS,SSD,728,"Adjusted net attendance rate, one year before the official primary entry age",2010,21.12113,Female,,%,,,,Total
South Sudan,SS,SSD,728,"Adjusted net attendance rate, one year before the official primary entry age",2010,25.77895,Male,,%,,,,Total
South Sudan,SS,SSD,728,"Adjusted net attendance rate, one year before the official primary entry age",2010,23.48708,Total,,%,,,,Total
Sri Lanka,LK,LKA,144,"Adjusted net attendance rate, one year before the official primary entry age",2016,41.062401,Female,,%,,,,Total
Sri Lanka,LK,LKA,144,"Adjusted net attendance rate, one year before the official primary entry age",2016,42.028259,Male,,%,,,,Total
Sri Lanka,LK,LKA,144,"Adjusted net attendance rate, one year before the official primary entry age",2016,41.554981,Total,,%,,,,Total
"Palestinian Territory, Occupied",PS,PSE,275,"Adjusted net attendance rate, one year before the official primary entry age",2020,94.876266,Female,,%,,,,Total
"Palestinian Territory, Occupied",PS,PSE,275,"Adjusted net attendance rate, one year before the official primary entry age",2020,92.519913,Male,,%,,,,Total
"Palestinian Territory, Occupied",PS,PSE,275,"Adjusted net attendance rate, one year before the official primary entry age",2020,93.621063,Total,,%,,,,Total
Sudan,SD,SDN,736,"Adjusted net attendance rate, one year before the official primary entry age",2014,39.129429,Female,,%,,,,Total
Sudan,SD,SDN,736,"Adjusted net attendance rate, one year before the official primary entry age",2014,42.52504,Male,,%,,,,Total
Sudan,SD,SDN,736,"Adjusted net attendance rate, one year before the official primary entry age",2014,40.825241,Total,,%,,,,Total
Suriname,SR,SUR,740,"Adjusted net attendance rate, one year before the official primary entry age",2018,94.800003,Female,,%,,,,Total
Suriname,SR,SUR,740,"Adjusted net attendance rate, one year before the official primary entry age",2018,92.900002,Male,,%,,,,Total
Suriname,SR,SUR,740,"Adjusted net attendance rate, one year before the official primary entry age",2018,93.800003,Total,,%,,,,Total
Tajikistan,TJ,TJK,762,"Adjusted net attendance rate, one year before the official primary entry age",2017,52.350349,Female,,%,,,,Total
Tajikistan,TJ,TJK,762,"Adjusted net attendance rate, one year before the official primary entry age",2017,47.469212,Male,,%,,,,Total
Tajikistan,TJ,TJK,762,"Adjusted net attendance rate, one year before the official primary entry age",2017,49.77478,Total,,%,,,,Total
Thailand,TH,THA,764,"Adjusted net attendance rate, one year before the official primary entry age",2019,99.233421,Female,,%,,,,Total
Thailand,TH,THA,764,"Adjusted net attendance rate, one year before the official primary entry age",2019,97.653419,Male,,%,,,,Total
Thailand,TH,THA,764,"Adjusted net attendance rate, one year before the official primary entry age",2019,98.477608,Total,,%,,,,Total
Timor-Leste,TL,TLS,626,"Adjusted net attendance rate, one year before the official primary entry age",2016,62.75135,Female,,%,,,,Total
Timor-Leste,TL,TLS,626,"Adjusted net attendance rate, one year before the official primary entry age",2016,64.710579,Male,,%,,,,Total
Timor-Leste,TL,TLS,626,"Adjusted net attendance rate, one year before the official primary entry age",2016,63.736671,Total,,%,,,,Total
Togo,TG,TGO,768,"Adjusted net attendance rate, one year before the official primary entry age",2017,70.314621,Female,,%,,,,Total
Togo,TG,TGO,768,"Adjusted net attendance rate, one year before the official primary entry age",2017,73.410439,Male,,%,,,,Total
Togo,TG,TGO,768,"Adjusted net attendance rate, one year before the official primary entry age",2017,71.826431,Total,,%,,,,Total
Tonga,TO,TON,776,"Adjusted net attendance rate, one year before the official primary entry age",2019,97.015228,Female,,%,,,,Total
Tonga,TO,TON,776,"Adjusted net attendance rate, one year before the official primary entry age",2019,96.378433,Male,,%,,,,Total
Tonga,TO,TON,776,"Adjusted net attendance rate, one year before the official primary entry age",2019,96.681976,Total,,%,,,,Total
Tunisia,TN,TUN,788,"Adjusted net attendance rate, one year before the official primary entry age",2018,90.800003,Female,,%,,,,Total
Tunisia,TN,TUN,788,"Adjusted net attendance rate, one year before the official primary entry age",2018,89.800003,Male,,%,,,,Total
Tunisia,TN,TUN,788,"Adjusted net attendance rate, one year before the official primary entry age",2018,90.300003,Total,,%,,,,Total
Turkmenistan,TM,TKM,795,"Adjusted net attendance rate, one year before the official primary entry age",2019,50.70015,Female,,%,,,,Total
Turkmenistan,TM,TKM,795,"Adjusted net attendance rate, one year before the official primary entry age",2019,48.866009,Male,,%,,,,Total
Turkmenistan,TM,TKM,795,"Adjusted net attendance rate, one year before the official primary entry age",2019,49.79789,Total,,%,,,,Total
Turks and Caicos Islands,TC,TCA,796,"Adjusted net attendance rate, one year before the official primary entry age",2020,99.41732,Female,,%,,,,Total
Turks and Caicos Islands,TC,TCA,796,"Adjusted net attendance rate, one year before the official primary entry age",2020,98.526154,Male,,%,,,,Total
Turks and Caicos Islands,TC,TCA,796,"Adjusted net attendance rate, one year before the official primary entry age",2020,99.036041,Total,,%,,,,Total
Tuvalu,TV,TUV,798,"Adjusted net attendance rate, one year before the official primary entry age",2020,80.079521,Female,,%,,,,Total
Tuvalu,TV,TUV,798,"Adjusted net attendance rate, one year before the official primary entry age",2020,74.349533,Male,,%,,,,Total
Tuvalu,TV,TUV,798,"Adjusted net attendance rate, one year before the official primary entry age",2020,77.115341,Total,,%,,,,Total
Uganda,UG,UGA,800,"Adjusted net attendance rate, one year before the official primary entry age",2016,73.455231,Female,,%,,,,Total
Uganda,UG,UGA,800,"Adjusted net attendance rate, one year before the official primary entry age",2016,71.23069,Male,,%,,,,Total
Uganda,UG,UGA,800,"Adjusted net attendance rate, one year before the official primary entry age",2016,72.317421,Total,,%,,,,Total
Ukraine,UA,UKR,804,"Adjusted net attendance rate, one year before the official primary entry age",2012,81.018341,Female,,%,,,,Total
Ukraine,UA,UKR,804,"Adjusted net attendance rate, one year before the official primary entry age",2012,77.969391,Male,,%,,,,Total
Ukraine,UA,UKR,804,"Adjusted net attendance rate, one year before the official primary entry age",2012,79.446663,Total,,%,,,,Total
"Tanzania, United Republic of",TZ,TZA,834,"Adjusted net attendance rate, one year before the official primary entry age",2016,71.916054,Female,,%,,,,Total
"Tanzania, United Republic of",TZ,TZA,834,"Adjusted net attendance rate, one year before the official primary entry age",2016,66.177544,Male,,%,,,,Total
"Tanzania, United Republic of",TZ,TZA,834,"Adjusted net attendance rate, one year before the official primary entry age",2016,69.002563,Total,,%,,,,Total
Uruguay,UY,URY,858,"Adjusted net attendance rate, one year before the official primary entry age",2013,98.589622,Female,,%,,,,Total
Uruguay,UY,URY,858,"Adjusted net attendance rate, one year before the official primary entry age",2013,99.11274,Male,,%,,,,Total
Uruguay,UY,URY,858,"Adjusted net attendance rate, one year before the official primary entry age",2013,98.878601,Total,,%,,,,Total
Vietnam,VN,VNM,704,"Adjusted net attendance rate, one year before the official primary entry age",2014,94.188477,Female,,%,,,,Total
Vietnam,VN,VNM,704,"Adjusted net attendance rate, one year before the official primary entry age",2014,95.465401,Male,,%,,,,Total
Vietnam,VN,VNM,704,"Adjusted net attendance rate, one year before the official primary entry age",2014,94.897118,Total,,%,,,,Total
Yemen,YE,YEM,887,"Adjusted net attendance rate, one year before the official primary entry age",2013,14.31997,Female,,%,,,,Total
Yemen,YE,YEM,887,"Adjusted net attendance rate, one year before the official primary entry age",2013,13.21062,Male,,%,,,,Total
Yemen,YE,YEM,887,"Adjusted net attendance rate, one year before the official primary entry age",2013,13.75709,Total,,%,,,,Total
Zambia,ZM,ZMB,894,"Adjusted net attendance rate, one year before the official primary entry age",2018,58.091839,Female,,%,,,,Total
Zambia,ZM,ZMB,894,"Adjusted net attendance rate, one year before the official primary entry age",2018,59.347351,Male,,%,,,,Total
Zambia,ZM,ZMB,894,"Adjusted net attendance rate, one year before the official primary entry age",2018,58.716782,Total,,%,,,,Total
Zimbabwe,ZW,ZWE,716,"Adjusted net attendance rate, one year before the official primary entry age",2019,79.800003,Female,,%,,,,Total
Zimbabwe,ZW,ZWE,716,"Adjusted net attendance rate, one year before the official primary entry age",2019,82,Male,,%,,,,Total
Zimbabwe,ZW,ZWE,716,"Adjusted net attendance rate, one year before the official primary entry age",2019,81,Total,,%,,,,Total
